x1,x2,x3,x4,y
8.55834,3.08451,1.79961,6.61568,0.45023
4.08455,8.66603,2.86980,1.67996,-7.29982
1.93701,8.92190,8.99454,0.56534,-74.71018
3.11286,7.36286,4.35027,7.14242,22.25650
5.52064,3.46109,6.07592,2.77215,-66.01461
6.02041,4.14574,4.04051,0.51734,-61.81329
6.48510,6.86578,7.25055,9.97896,-8.79243
2.95528,5.57838,4.07173,7.88104,25.78613
0.73953,6.09719,6.40472,5.35178,-7.07813
6.58322,5.91833,5.03354,0.99047,-65.60728
8.10927,7.31604,5.59584,9.36996,0.38188
6.15664,2.93745,0.13150,1.51232,-15.60639
4.36055,9.88046,1.40395,3.65065,31.11148
1.73343,6.68011,6.59096,9.95260,28.75475
4.41085,5.95305,3.80743,9.32218,38.50221
2.61820,4.44060,5.77801,4.62522,-26.44111
5.14620,1.41600,9.15979,9.52041,-54.88196
9.66820,6.77488,3.47648,0.17651,-70.26184
9.07378,8.87619,9.44545,2.43020,-111.51474
9.46936,0.47627,2.87139,8.75730,-12.06796
2.91272,8.28740,7.24748,8.04235,0.40005
0.17256,7.86375,8.20200,6.44435,-8.06518
8.10931,8.78447,4.97542,9.55293,15.15288
5.83623,8.04135,5.83563,5.03011,-26.84168
1.91044,8.71479,9.73798,9.36340,-5.12959
9.27676,6.47824,9.84260,5.24309,-99.22782
6.19297,0.94161,1.18251,3.76248,-13.15810
1.93962,8.11206,2.04374,8.88851,77.24926
5.19661,3.92799,7.31238,9.11768,-20.34094
6.93201,6.19878,6.53229,0.55315,-89.43161
5.72350,7.25804,0.07598,6.66754,52.53272
0.07593,8.88827,8.54399,7.70458,0.01979
2.76558,5.64968,4.25008,1.41950,-33.23025
0.91683,6.28992,8.21014,5.52488,-26.99819
4.80905,0.57733,8.29592,9.45181,-41.44572
5.44372,2.75826,8.05139,8.06964,-45.28908
8.89147,8.94525,2.48645,7.51763,18.32261
3.31664,0.31575,8.40043,2.25744,-98.04811
2.33311,8.18781,3.20698,7.84508,50.15183
0.39534,3.67962,4.97379,3.38236,-17.63664
3.37000,0.29550,9.60228,5.74778,-79.64347
3.50873,7.82963,4.90136,3.80018,-15.86967
7.67707,4.22707,6.30706,7.14359,-38.95682
1.81543,6.76891,3.86995,3.95277,5.95616
6.17322,2.52418,7.28460,6.24341,-59.27205
5.62244,5.97128,0.42534,4.38097,25.39997
3.01071,2.81378,8.67125,4.31568,-67.92692
8.59913,7.47784,6.65669,5.51757,-51.53870
7.15588,0.55853,9.66489,8.89487,-76.05584
7.29049,0.05125,6.30212,9.01396,-40.16281
9.00636,4.65935,0.72250,0.90880,-36.90552
6.35818,2.91121,1.71570,3.45805,-16.45825
